Freq.	V(vout)
1.00000000000000e-002	(-6.41208741068399e+001dB,1.77131672914299e+002°)
1.00023028502082e-002	(-6.41168765966358e+001dB,1.77131012654783e+002°)
1.00046062307284e-002	(-6.41128790875778e+001dB,1.77130352243408e+002°)
1.00069101416826e-002	(-6.41088815796664e+001dB,1.77129691680139e+002°)
1.00092145831930e-002	(-6.41048840729023e+001dB,1.77129030964941e+002°)
1.00115195553817e-002	(-6.41008865672859e+001dB,1.77128370097779e+002°)
1.00138250583710e-002	(-6.40968890628177e+001dB,1.77127709078619e+002°)
1.00161310922831e-002	(-6.40928915594983e+001dB,1.77127047907425e+002°)
1.00184376572403e-002	(-6.40888940573283e+001dB,1.77126386584163e+002°)
1.00207447533648e-002	(-6.40848965563080e+001dB,1.77125725108797e+002°)
1.00230523807790e-002	(-6.40808990564382e+001dB,1.77125063481294e+002°)
1.00253605396052e-002	(-6.40769015577192e+001dB,1.77124401701618e+002°)
1.00276692299659e-002	(-6.40729040601517e+001dB,1.77123739769733e+002°)
1.00299784519833e-002	(-6.40689065637361e+001dB,1.77123077685606e+002°)
1.00322882057800e-002	(-6.40649090684730e+001dB,1.77122415449201e+002°)
1.00345984914784e-002	(-6.40609115743629e+001dB,1.77121753060484e+002°)
1.00369093092010e-002	(-6.40569140814064e+001dB,1.77121090519418e+002°)
1.00392206590702e-002	(-6.40529165896040e+001dB,1.77120427825970e+002°)
1.00415325412088e-002	(-6.40489190989561e+001dB,1.77119764980105e+002°)
1.00438449557391e-002	(-6.40449216094634e+001dB,1.77119101981787e+002°)
1.00461579027839e-002	(-6.40409241211264e+001dB,1.77118438830982e+002°)
1.00484713824658e-002	(-6.40369266339456e+001dB,1.77117775527654e+002°)
1.00507853949073e-002	(-6.40329291479215e+001dB,1.77117112071768e+002°)
1.00530999402313e-002	(-6.40289316630547e+001dB,1.77116448463291e+002°)
1.00554150185604e-002	(-6.40249341793456e+001dB,1.77115784702185e+002°)
1.00577306300174e-002	(-6.40209366967949e+001dB,1.77115120788417e+002°)
1.00600467747249e-002	(-6.40169392154031e+001dB,1.77114456721952e+002°)
1.00623634528060e-002	(-6.40129417351707e+001dB,1.77113792502754e+002°)
1.00646806643832e-002	(-6.40089442560982e+001dB,1.77113128130789e+002°)
1.00669984095796e-002	(-6.40049467781862e+001dB,1.77112463606021e+002°)
1.00693166885180e-002	(-6.40009493014351e+001dB,1.77111798928415e+002°)
1.00716355013213e-002	(-6.39969518258456e+001dB,1.77111134097936e+002°)
1.00739548481125e-002	(-6.39929543514182e+001dB,1.77110469114550e+002°)
1.00762747290145e-002	(-6.39889568781534e+001dB,1.77109803978220e+002°)
1.00785951441503e-002	(-6.39849594060517e+001dB,1.77109138688913e+002°)
